[0906/113349.682:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x651c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113349.687:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x651c001b0200]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/113440.132:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2c001b2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113440.869:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2c001b2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113440.910:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2c001b2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113440.915:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0xa2c001b2600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
[0906/113728.612:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x730c001ad600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113729.350:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x730c001ad600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113729.388:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x730c001ad600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels
[0906/113729.391:ERROR:gpu\command_buffer\service\gl_utils.cc:430] [.WebGL-0x730c001ad600]GL Driver Message (OpenGL, Performance, GL_CLOSE_PATH_NV, High): GPU stall due to ReadPixels (this message will no longer repeat)
